# chữ Hán → âm Hán-Việt ('|' ngăn cách nếu đa âm, âm đầu = mặc định).
# Nguồn: github.com/ph0ngp/hanviet-pinyin-words (MIT) + Unihan kTraditionalVariant
# (giản thể hợp nhất cả âm của dạng phồn thể). Sinh bởi build_hv3.py 2026-07.
⻏	ấp
倒	đảo|đáo
倓	đàm
倔	quật
倖	hãnh
倘	thảng
候	hậu
倚	ỷ
倜	thích
倝	cán
倞	kính|lượng
借	tá|tạ|tịch
倡	xướng
倢	tiệp
倣	phỏng|phảng
値	trị
倥	không
倦	quyện
倨	cứ
倩	thiến
倪	nghê
倫	luân
倬	trác
倭	oa|nuỵ
倮	loã|khoả
倶	câu
倷	nãi
倸	thải
倹	kiệm
债	trái
值	trị
倽	xá
倾	khuynh
偁	xưng
偃	yển
假	giả|giá
偈	kệ|khế
偉	vĩ
偌	nhạ
偎	ôi
偏	thiên
偓	ốc
偕	giai
偘	khản
做	tố
停	đình
偝	bội
偟	hoàng
偢	thiễu
健	kiện
偨	sai
偩	phụ
偪	bức
偫	trĩ
偬	tổng
偭	diện
偯	ỷ
偰	tiết
偲	ti
側	trắc
偵	trinh
偶	ngẫu
偷	thâu
偸	thâu
偺	ta
偻	lâu|lũ
偽	nguỵ
偾	phẫn
偿	thường
傀	khôi|quỷ
傅	phó|phụ
傈	lật
傌	mạ
傍	bàng|bạng
傎	điên
傑	kiệt
傒	hề
傓	phiến
傔	khiểm
傕	quyết
傖	sanh
傘	tản
備	bị
傚	hiệu
傜	dao
傞	thoa
傢	gia
傣	thái
傥	thảng
傧	tân
储	trữ
傩	na
催	thôi
傭	dong|dung
傮	tao
傯	tổng
傲	ngạo
傳	truyền|truyện
傴	ủ
債	trái
傷	thương
傺	sế
傻	xoạ
傾	khuynh
僂	lâu|lũ
僃	bị
僄	phiêu
僅	cận
僇	lục
僉	thiêm
僊	tiên
働	động
僎	soạn
像	tượng
僑	kiều
僔	tổn
僕	bộc
僖	hy
僚	liêu
僝	sàn
僞	nguỵ
僣	tiếm
僤	đản
僥	kiểu|nghiêu
僦	tựu
僧	tăng
僨	phẫn
僩	giản
僬	tiêu
僭	tiếm
僮	tráng|đồng
僰	bặc
僱	cố
僳	túc
僴	giản
僵	cương
價	giá|giới
僻	tích
僾	ái
僿	tái
儀	nghi
儁	tuấn
儂	nùng
儃	thản
億	ức
儅	đang
儆	cảnh
儇	huyên
儈	khoái
儉	kiệm
儊	sứ
儋	đam
儌	kiêu
儍	xoạ
儎	tải|tái
儐	tân
儒	nho
儓	đài
儔	trù
儕	sài
儗	nghĩ
儘	tận
儜	ninh
儞	nễ
償	thường
儡	lỗi
儤	bạo
儩	tứ
優	ưu
儭	sấn
儱	lũng
儲	trữ
儳	sàm
儵	thúc
儷	lệ
儸	la
儹	toản
儺	na
儻	thảng
儼	nghiễm
儽	luy
儿	nhân|nhi
兀	ngột
允	duẫn
元	nguyên
兄	huynh
充	sung
兆	triệu
兇	hung
先	tiên
光	quang
克	khắc
兌	đoái
免	miễn|vấn
兎	thỏ
児	nhi
兑	đoái
兒	nhi
兔	thỏ
兕	huỷ
兖	duyện
兗	duyện
兙	thập khắc
党	đảng
兛	thiên khắc
兜	đâu
兟	sân
兢	căng
入	nhập
內	nội
全	toàn
兩	lưỡng|lượng|lạng
兪	du
八	bát
公	công
六	lục
兮	hề
兰	lan
共	cộng
兲	thiên
关	quan
兴	hưng|hứng
兵	binh
其	kỳ
具	cụ
典	điển
兹	tư|từ
养	dưỡng
兼	kiêm
兽	thú
冀	ký
冁	sản
冂	quynh
冃	mạo
冄	nhiễm
内	nội
円	viên
冇	mão
冈	cương
冉	nhiễm
冊	sách
冋	quynh
册	sách
再	tái
冏	quýnh
冐	mạo
冑	trụ
冒	mạo
冓	cấu
冔	hu
冕	miện
冖	mịch
冗	nhũng
冘	dâm
写	tả
军	quân
农	nông
冞	my
冠	quán|quan
冡	mông
冢	trủng
冣	tối
冤	oan
冥	minh
冪	mịch
冫	băng
冬	đông
冯	phùng|bằng
冰	băng
冱	hộ
冲	xung
决	quyết
况	huống
冶	dã
冷	lạnh
冻	đông
冽	liệt
净	tịnh
凄	thê
准	chuẩn
凇	tùng
凈	tịnh
凉	lương|lượng
凊	sảnh
凋	điêu
凌	lăng
凍	đông
减	giảm
凑	thấu
凓	lật
凔	sương
凛	lẫm
凜	lẫm
凝	ngưng
凟	độc
几	cơ|ky|kỷ
凡	phàm
凢	phàm
凤	phượng
凥	cư
処	xử
凫	phù
凭	bằng
凯	khải
凰	hoàng
凱	khải
凳	đắng
凴	bằng
凵	khảm
凶	hung
凸	đột
凹	ao
出	xuất
击	kích
凼	đãng
函	hàm
凿	tạc
刀	đao
刁	điêu
刂	đao
刃	nhận
分	phân|phận|phần
切	tiếp|thiết
刈	ngải
刊	san
刌	thiển
刍	sô
刎	vẫn
刑	hình
划	hoa|hoạch
刓	ngoan
刖	ngoạt
列	liệt
刘	lưu
则	tắc
刚	cương
创	thương|sang|sáng
刜	phất
初	sơ
删	san
判	phán
別	biệt
刦	kiếp
刧	kiếp
刨	bào
利	lợi
刪	san
别	biệt
刬	sản
刭	hĩnh
刮	quát
到	đáo
刱	thương|sang|sáng
刲	khuê
刳	khô
刴	đoá
刵	nhĩ
制	chế
刷	xoát|loát
券	khoán
刹	sát|sa
刺	thích|thứ
刻	khắc
刼	kiếp
刽	quái
刾	thích
刿	quế
剀	khải
剁	đoá
剂	tễ
剃	thế
剄	hĩnh
剅	lâu
則	tắc
剉	toả
削	tước
剋	khắc
剌	lạt
前	tiền
剎	sát|sa
剏	sáng
剐	quả
剑	kiếm
剒	thố
剔	dịch
剕	phí
剖	phẫu
剗	sản
剙	sáng
剚	tứ
剛	cương
剜	oan
剝	bác
剞	kỷ
剟	xuyết
剡	diệm
剣	kiếm
剤	tễ
剥	bác
剧	kịch
剩	thặng
剪	tiễn
剮	quả
副	phó|bộ
剰	thặng
割	cắt
剳	tráp
剴	khải
創	thương|sang|sáng
剷	sản
剹	lục
剺	ly
剽	phiêu
剿	tiễu
劂	quyết
劃	hoạch
劄	trát|tráp
劇	kịch
劈	phách
劉	lưu
劊	quái
劌	quế
劍	kiếm
劐	hoát
劑	tễ
劒	kiếm
劓	nhị|tị
劖	thiền
劘	my
劙	ly
力	lực
劝	khuyến
办	biện
功	công
加	gia
务	vụ
劢	mại
劣	liệt
劦	hiệp
动	động
助	trợ
努	nỗ
劫	kiếp
劬	cù
劭	thiệu
励	lệ
劲	kình|cứng|kính
劳	lao|lạo
労	lao
劵	quyển
効	hiệu
劻	khuông
劼	cật
劾	hặc
势	thế
勁	kình|cứng|kính
勃	bột
勅	sắc
勇	dũng
勉	miễn|mẫn
勋	huân
勌	quyện
勍	kình
勐	mãnh
勑	sắc
勒	lặc
勔	miễn
動	động
勖	húc
勗	húc
勘	khám
務	vụ
勚	duệ
勛	huân
勝	thắng
勞	lao|lạo
募	mộ
勠	lục
勢	thế
勣	tích
勤	cần
勦	tiễu
勧	cần
勩	duệ
勯	đan
勰	hiệp
勱	mại
勲	huân
勳	huân
勵	lệ
勷	nhương
勸	khuyến
勹	bao
勺	thược
勻	quân
勾	câu|cấu
勿	vật
匀	quân
匃	cái
匄	cái
包	bao
匆	thông
匈	hung
匉	phanh
匊	cúc
匋	đào
匍	bồ
匏	bào
匐	bặc
匑	cung
匔	cung
匕	chuỷ
化	hoa|hoá
北	bắc
匙	thi
匚	phương
匜	di
匝	táp
匟	kháng
匠	tượng
匡	khuông
匣	hạp
匦	quỹ
匧	kiếp
匪	phỉ
匭	quỹ
匮	quỹ
匯	hối
匱	quỹ
匳	liêm
匴	toán
匵	độc
匶	cữu
匸	hệ
匹	thất|thớt
区	âu|khu
医	y
匽	yển
匾	biển
匿	nặc
區	âu|khu
十	thập
卂	tín
千	thiên
卄	nhập
卅	tạp
卆	tốt
升	thăng
午	ngọ
卉	huỷ
半	bán
卋	thế
卌	tấp
卍	vạn
华	hoa|hoá
协	hiệp
卐	vạn
卑	ti
卒	thốt|tốt|tuất
卓	trác
協	hiệp
单	thiện|thiền|đơn|đan
卖	mại
南	nam
博	bác
卜	bốc|bặc
卝	quán|khoáng
卞	biện
卟	kê
占	chiêm|chiếm
卡	ca|tạp|khải
卢	lô
卣	dữu
卤	lỗ
卦	quái
卨	tiết
卩	tiết
卫	vệ
卬	ngang
卮	chi
卯	mão
印	ấn
危	nguy
卲	thiệu
即	tức
却	khước
卵	noãn
卷	cuộn|quyển|cuốn
卸	tá
卹	tuất
卻	khước
卼	ngột
卽	tức
卿	khanh
厀	tất
厂	hán|xưởng
厄	ách
厅	sảnh|thính
历	lịch
厉	lệ
压	áp
厌	yếm
厍	xá
厎	chỉ
厐	bàng
厓	nhai
厔	chất
厕	xí
厖	bàng
厘	ly
厙	xá
厚	hậu
厜	tuy
厝	thố
厞	phi
原	nguyên
厠	xí
厢	sương
厣	áp
厤	lịch
厥	quyết
厦	hạ
厨	trù
厩	cứu
厪	cận|cẩn|cần
厭	yếm
厮	tư
厰	xưởng
厲	lệ
厳	nghiêm
厴	áp
厶	mỗ|khư
厷	quăng|hoành
厹	cầu|nhu
厺	khứ
去	khứ|khử
厾	đâu
县	huyện
叁	tam
参	tam|tham|sâm
參	tam|tham|sâm
叄	tam
叅	tham
叆	ái
叇	đãi
又	hựu
叉	xoa
及	cập
友	hữu
双	song
反	phản
収	thâu
发	phát
叒	nhược
叔	thúc
叕	chuyết
取	thủ
受	thọ
变	biến
叙	tự
叚	giả
叛	phản
叟	tẩu
叠	điệp
叡	duệ
叢	tùng
口	khẩu
古	cổ
句	câu|cú
另	lánh
叨	đao|thao
叩	khấu
只	chỉ|kỳ|chích
叫	khiếu
召	thiệu|triệu|chiêu
叭	bá
叮	đinh
可	khả|khắc
台	đài
叱	sất
史	sử
右	hữu
叵	phả
叶	hiệp|diệp
号	gào|hào|hiệu
司	ti|tư
叹	thán
叻	lặc
叼	điêu
叽	ky
吁	hu|dụ
吃	cật
各	các
吅	tụng|huyên
吆	yêu
合	cáp|hợp|hiệp|hạp
吉	cát
吊	điếu
吋	thốn
同	đồng
名	danh
后	hậu
吏	lại
吐	thổ
向	hướng
吒	tra|trá
吓	hách
吕	lữ|lã
吗	ma
吚	y
君	quân
吝	lận
吞	thôn
吟	ngâm
吠	phệ
吡	bỉ
吥	bất
否	phủ|phầu|bĩ|bỉ
吧	ba
吨	đốn
吩	phân
吪	ngoa
含	hàm
听	dẫn|thính
吭	hàng|hạng|khang
吮	duyện
启	khởi|khải
吰	hoành
吱	chi|tư
吲	sẩn
吳	ngô
吴	ngô
吵	sảo
吶	nột|niệt
吸	hấp
吹	xuy|xuý
吻	vẫn
吼	hống
吽	hồng|ngâu|ngầu|ẩu
吾	ngô
呀	nha
呂	lữ|lã
呃	ách
呆	ngốc|ngai
呈	trình
呉	ngô
告	cáo
呋	phu
呌	khiếu
呎	xích
呏	thăng
呐	nột|niệt
呑	thôn
呒	phủ|mô
呓	nghệ
呕	ẩu
呖	lịch
呗	bái|bối
员	viên
呙	qua|quai|oai
呛	sặc|sang
呜	ô
呝	ách
呢	ni|nỉ
呣	mô
呤	linh
呦	u
呧	để
周	chu
呪	chú
呫	chiếp|thiếp
呬	hi
呰	tử
呱	oa
呲	thử
味	vị
呴	hú
呵	a|ha
呶	nao
呷	hạp
呸	phì
呺	hiêu
呻	thân
呼	hô
命	mệnh
呿	khư
咀	trớ|tứ|chuỷ
咁	cám
咂	táp
咄	đốt
咅	phủ
咆	bào
咇	tất
咈	phật
咊	hoà
咋	trách|trá
和	hoà|hoạ|ù|hồ
咍	hai
咎	cữu
咏	vịnh
咐	phó
咑	đát
咒	chú
咔	ca
咕	cô
咖	ca
咙	lung
咚	đông
咛	ninh
咠	thấp
咡	nhị
咢	ngạc
咣	quang
咤	trá|tra
咥	điệt|hí
咦	di
咧	liệt
咨	tư
咩	mị
咪	mi
咫	chỉ
咬	giảo
咭	kê
咮	trụ
咯	khách|cách|lạc|khạc
咱	ta
咲	tiếu
咳	hài|khái
咷	đào
咸	hàm
咺	tuyển
咻	hưu
咼	qua|quai|oai
咽	yết|yến|ế
咿	y
哀	ai
品	phẩm
哂	sẩn
哄	hống
哆	đá
哇	oa
哈	ha|hà
哉	tai
响	hưởng
哎	ai
哏	ngận
哑	nha|á|ách
哒	đát
哓	hiêu
哔	tất
哕	hối|oẹ|uế|uyết
哗	hoa
哙	khoái|hồi
哜	tế
哝	nông
哞	mâu
哟	ôi|dô
員	viên
哢	lộng
哤	mang
哥	ca
哦	nga
哧	xích
哨	sáo
哩	lý|ly
哪	nả|na
哫	túc
哭	khóc
哮	hao
